source,destination,holding_time
0,4,4
0,3,87
0,4,3
0,4,60
0,4,18
7,3,15
7,3,5
7,3,4
7,3,4
7,3,9
7,3,37
7,4,75
0,4,4
7,3,13
0,4,38
0,3,55
0,4,2
7,4,83
7,3,63
0,4,38
0,3,46
7,3,2
7,3,2
0,4,14
0,3,62
7,4,6
7,3,61
0,4,73
7,4,72
7,3,6
0,4,7
0,3,6
7,3,2
0,4,67
0,4,35
0,4,65
7,4,64
7,4,3
0,3,2
7,3,50
0,4,60
7,4,4
7,3,13
7,4,3
7,4,56
7,4,10
0,4,5
7,3,3
0,4,5
7,3,51
7,4,50
0,4,11
0,4,4
0,3,10
0,3,46
7,4,7
7,4,44
0,3,29
7,3,42
0,3,34
0,4,40
7,3,11
0,4,38
7,4,22
0,4,32
7,3,4
7,4,10
0,3,33
7,4,32
7,4,2
7,4,13
0,3,29
7,3,12
7,4,4
7,3,26
0,3,25
7,3,24
7,3,23
0,4,22
0,4,20
7,4,20
0,4,5
0,4,18
7,3,17
7,3,16
0,3,15
0,3,14
0,4,13
7,3,12
7,4,5
0,4,10
0,3,9
0,3,4
7,3,7
0,3,6
7,3,5
7,4,4
7,3,3
0,3,2
0,3,1
