source,destination,holding_time
0,4,14
7,4,3
0,3,32
7,4,2
0,4,85
7,4,2
0,4,2
7,3,2
7,3,3
7,4,2
7,3,64
0,3,31
7,3,27
7,4,2
7,3,32
7,3,2
7,4,3
0,4,2
0,3,15
0,3,4
0,4,2
7,4,2
7,3,2
0,4,5
7,3,3
0,3,2
7,4,2
7,3,73
0,4,9
0,3,3
0,3,16
0,3,6
7,3,6
0,4,2
7,4,3
0,4,2
0,3,2
7,4,2
0,3,2
7,4,4
7,3,24
7,3,25
0,3,2
0,3,10
0,4,30
7,4,22
0,3,15
0,3,44
0,3,2
0,4,2
0,4,2
0,4,4
0,3,2
0,4,8
7,4,2
7,3,45
7,4,2
0,4,2
7,3,2
7,4,2
0,4,40
7,4,13
0,3,4
7,3,3
7,4,2
0,4,3
7,3,2
0,4,22
7,4,2
0,3,3
0,3,2
0,4,6
7,3,12
0,3,3
0,3,7
7,4,10
0,3,2
7,3,2
7,3,9
7,3,7
7,4,10
7,3,2
7,3,18
0,3,9
7,3,2
7,4,11
7,4,2
0,4,8
0,3,2
0,4,9
0,4,10
7,4,6
7,3,2
0,4,6
0,3,2
0,4,2
7,4,2
0,4,3
7,4,2
0,3,1
