source,destination,holding_time
0,4,8
7,3,2
7,4,8
7,4,35
7,4,60
7,3,38
0,3,4
0,4,2
7,4,14
0,4,8
0,3,2
0,3,5
0,3,3
0,4,3
0,3,10
7,3,4
0,4,6
7,3,18
7,4,2
7,3,33
7,3,54
0,4,10
0,3,14
7,4,11
7,4,76
0,3,4
0,4,2
0,4,32
0,4,8
0,4,25
7,4,3
0,3,2
7,3,3
7,4,11
7,4,9
7,3,2
7,4,4
0,4,9
0,4,23
7,4,5
7,4,38
0,3,2
7,3,2
7,4,17
7,3,2
7,3,15
0,4,28
7,4,9
7,3,2
7,3,5
0,3,2
7,3,9
0,3,10
0,3,33
0,3,2
7,3,45
7,4,10
0,3,2
7,4,2
7,3,6
7,3,29
0,3,3
0,3,2
0,4,37
0,3,3
0,4,35
0,4,34
7,4,9
7,3,2
7,4,17
7,3,30
0,3,29
7,3,2
7,3,2
0,4,26
7,3,18
7,4,24
0,3,23
0,3,22
7,4,2
0,4,3
0,4,2
0,3,18
7,4,2
7,4,16
7,3,7
0,4,14
0,3,2
0,3,2
0,3,10
7,4,10
0,3,2
7,3,7
0,4,7
7,3,6
7,3,5
7,4,4
0,3,3
0,4,2
0,4,1
