source,destination,holding_time
7,4,2
7,4,2
7,3,18
7,4,37
7,3,3
7,4,72
7,4,5
7,4,5
0,3,2
0,3,3
0,4,2
0,3,3
7,3,2
0,4,14
0,4,40
7,4,3
0,3,3
7,4,2
7,4,18
7,3,3
0,3,4
0,4,2
7,3,5
0,3,4
0,3,2
0,3,4
7,3,2
0,3,3
0,3,2
0,3,4
0,3,2
0,4,4
0,4,3
7,4,2
0,4,6
7,4,2
0,4,3
0,4,53
0,4,2
0,4,10
7,3,3
7,3,25
0,4,2
7,3,4
7,3,10
0,4,8
0,4,2
0,4,22
7,4,4
7,3,4
0,3,2
0,4,4
7,3,2
0,4,3
7,4,9
7,3,42
7,4,2
7,3,6
7,3,9
0,4,21
0,3,40
0,4,2
7,4,2
7,3,5
0,3,10
0,4,6
0,4,31
0,3,33
7,3,7
7,4,2
7,3,30
0,4,2
7,4,2
0,3,11
0,4,3
0,4,2
7,4,5
7,4,2
7,4,2
0,4,21
7,4,3
7,3,2
0,3,10
0,3,12
7,4,2
7,3,2
7,4,5
7,3,3
0,3,2
0,3,2
7,4,2
7,3,2
7,4,8
7,4,2
7,4,6
0,3,4
7,4,4
7,3,2
7,3,2
0,3,1
