source,destination,holding_time
7,3,6
7,3,62
7,4,50
7,4,2
0,3,23
7,4,88
7,4,9
0,3,40
0,4,68
0,3,49
7,3,2
0,4,8
0,3,88
0,3,7
0,3,4
0,3,82
0,3,42
0,4,71
7,3,12
7,4,75
7,3,4
7,4,10
0,4,32
7,3,13
7,3,2
0,3,2
0,3,4
0,3,6
0,3,41
7,4,2
0,3,69
7,4,69
7,3,61
0,3,2
7,3,9
7,4,65
0,3,64
7,3,2
7,3,2
7,3,5
7,4,60
7,3,7
0,3,43
7,3,8
0,3,6
7,3,33
0,4,3
0,4,44
0,3,23
0,3,44
7,4,2
0,4,49
7,4,10
0,4,6
7,3,2
0,3,5
7,3,41
0,3,10
0,4,15
7,4,5
7,3,23
0,3,3
0,3,38
0,4,7
7,3,4
7,3,35
7,4,3
7,4,22
7,3,11
0,4,3
0,4,7
7,3,8
7,4,28
7,4,27
0,3,8
7,4,25
7,3,24
0,4,10
7,3,22
7,4,9
0,3,17
0,4,6
7,3,18
0,3,17
0,4,4
0,4,3
0,3,14
7,4,13
0,4,12
7,3,5
7,3,10
0,4,9
7,3,8
0,4,7
0,4,4
0,4,5
0,4,4
7,4,3
0,4,2
0,4,1
