source,destination,holding_time
0,4,2
0,4,66
7,4,17
7,3,49
0,4,2
0,3,54
0,4,2
7,3,91
7,4,57
0,4,18
7,3,6
0,4,29
7,4,5
0,4,65
7,3,6
7,4,73
7,3,2
7,3,6
0,3,40
7,3,59
7,4,24
7,3,25
0,3,46
0,3,4
7,4,70
0,3,54
7,3,15
7,3,4
0,3,3
7,3,11
0,3,66
0,4,24
0,4,16
7,4,65
0,3,17
7,4,24
0,4,18
0,3,3
7,3,29
0,4,42
0,3,11
7,4,17
0,4,5
7,3,57
0,4,4
7,4,55
0,3,7
0,3,15
7,4,52
7,4,11
7,4,9
7,4,44
7,3,48
7,4,32
0,4,6
7,3,16
0,4,2
0,4,6
7,3,5
0,3,2
7,3,40
0,4,39
0,3,22
7,4,5
7,4,6
7,3,35
0,4,34
0,4,33
7,3,2
7,3,5
7,3,15
0,3,12
7,4,2
0,3,27
7,3,2
0,3,25
7,3,24
7,4,2
7,3,22
0,3,3
7,3,20
0,3,19
0,4,10
7,3,17
7,3,16
7,4,15
7,4,14
0,4,6
7,4,12
0,3,11
0,4,10
7,4,9
7,3,2
7,3,7
7,4,6
7,4,5
7,4,4
7,3,3
0,3,2
0,3,1
