source,destination,holding_time
7,3,2
7,3,3
7,4,17
0,3,85
7,4,49
7,4,26
7,4,28
0,4,25
7,3,33
0,3,35
7,3,40
0,4,12
0,4,16
0,3,87
0,4,43
0,3,85
7,4,35
7,3,15
7,4,4
7,4,2
7,4,2
0,4,6
7,3,71
0,4,19
0,3,32
0,4,64
0,4,74
0,3,17
7,3,3
0,3,7
7,3,70
7,4,18
7,3,2
7,4,23
0,4,66
0,3,2
7,3,2
7,4,6
0,4,13
0,4,61
0,4,8
0,4,7
7,4,5
0,3,3
7,4,56
7,3,2
0,3,54
0,4,23
7,4,52
0,3,20
0,4,50
0,3,3
0,3,5
0,4,24
0,4,46
7,4,25
0,3,2
0,4,43
7,3,11
0,3,5
7,4,3
0,4,2
7,3,28
7,3,5
0,4,14
0,3,35
7,4,34
0,3,33
7,4,11
7,4,31
7,4,6
0,3,29
7,3,28
0,4,16
7,4,2
0,4,7
0,3,3
7,3,23
7,4,18
7,4,3
7,3,9
7,3,19
7,3,18
0,4,16
0,4,3
7,4,15
0,3,14
7,3,13
0,4,3
0,4,8
7,4,7
7,4,5
7,4,4
0,4,7
0,4,6
7,3,5
7,4,4
0,4,2
0,3,2
7,4,1
