source,destination,holding_time
0,4,10
7,3,2
0,4,9
0,4,81
7,3,5
7,3,2
7,3,3
0,4,4
7,4,6
0,3,47
0,4,24
7,4,3
0,4,2
7,4,7
0,3,2
0,4,5
0,3,7
0,3,83
7,3,30
0,4,13
0,4,9
7,3,28
7,4,3
7,3,2
7,4,3
7,4,3
7,4,4
7,4,36
0,4,7
0,4,23
0,4,14
0,3,50
0,3,3
7,3,4
0,3,5
0,4,63
7,3,64
0,4,52
0,3,5
7,3,9
0,4,19
0,3,7
7,3,3
7,3,16
0,4,14
7,4,5
7,3,43
0,4,2
0,4,5
0,4,51
0,3,6
7,4,11
7,4,21
0,3,4
0,4,4
7,3,45
7,4,4
7,4,22
0,3,42
7,4,3
0,3,14
7,3,2
0,4,38
0,3,37
7,4,36
0,3,35
7,4,2
7,4,10
0,3,11
7,3,2
0,4,8
0,4,2
7,4,28
7,4,3
0,4,4
0,4,7
7,3,19
0,4,6
7,3,4
7,3,6
0,3,3
7,3,2
0,3,18
7,4,17
7,4,2
0,4,15
7,3,2
7,3,13
7,3,2
0,3,11
0,4,2
0,3,9
7,3,8
7,4,7
7,4,6
7,4,5
7,3,4
7,3,2
0,4,2
0,3,1
