source,destination,holding_time
0,3,4
7,4,59
0,4,24
7,3,90
7,4,4
0,4,4
0,4,4
7,4,18
7,4,51
0,3,15
7,4,11
0,3,2
7,3,3
0,3,6
0,3,7
0,4,10
7,4,45
0,4,5
0,4,5
7,4,12
7,3,10
0,4,28
7,3,18
7,3,41
0,4,2
0,4,4
0,3,9
0,4,3
0,3,13
7,3,3
7,3,8
0,4,7
7,4,11
7,3,45
7,3,11
0,4,65
0,4,2
0,3,60
0,3,31
0,4,2
7,3,2
0,4,21
0,3,12
7,4,18
0,3,56
7,3,2
7,4,6
0,4,5
0,4,13
7,4,51
0,3,17
0,4,15
7,4,3
7,4,44
7,4,4
0,3,9
0,3,6
7,4,17
7,4,38
7,3,2
7,3,40
0,4,3
7,3,3
0,4,37
0,4,8
7,3,10
0,3,18
7,4,13
7,3,16
7,3,31
0,3,30
7,4,2
0,4,10
0,4,27
7,3,2
7,3,3
0,4,24
0,4,2
7,3,3
7,4,4
0,4,9
7,3,19
7,3,2
0,3,9
0,3,16
0,3,2
0,3,7
0,3,13
7,3,8
7,4,3
0,4,10
7,4,2
7,4,8
0,4,7
7,3,3
7,3,3
0,3,4
7,4,2
0,4,2
0,3,1
