source,destination,holding_time
0,4,36
7,3,17
7,3,14
0,4,19
7,4,70
7,3,3
7,3,24
0,4,2
0,4,2
0,3,14
0,4,4
0,3,5
0,3,3
0,3,9
7,4,19
7,4,52
0,4,2
7,3,3
7,4,11
0,3,81
0,3,4
0,3,2
0,3,66
0,3,6
7,3,76
0,4,37
7,3,14
7,3,12
0,3,51
7,4,38
0,3,8
0,4,69
7,4,3
7,3,3
0,4,16
0,3,65
7,3,2
7,4,44
7,4,58
0,3,23
0,4,2
0,3,2
7,4,45
7,4,26
0,3,56
0,4,9
0,4,50
7,4,30
7,3,17
0,4,33
0,3,41
7,4,42
7,3,3
0,3,47
7,4,46
7,4,45
7,4,20
7,4,24
7,4,42
0,3,32
7,3,4
7,4,22
0,4,38
0,4,37
7,3,5
7,3,15
0,3,6
7,3,33
7,3,5
7,3,31
0,3,12
0,4,5
0,4,28
0,3,5
0,3,6
0,4,25
0,4,4
0,3,5
0,4,8
7,3,7
7,4,5
0,4,19
0,3,18
0,3,17
0,3,3
0,3,15
0,4,14
0,3,2
0,4,12
0,3,5
7,3,6
7,3,9
0,4,8
0,4,7
7,3,6
0,4,3
7,4,3
0,3,3
7,3,2
7,4,1
