source,destination,holding_time
7,3,8
7,3,2
7,3,31
0,4,3
0,3,71
7,3,2
0,4,15
0,3,15
7,3,19
0,3,55
0,3,37
0,3,6
0,4,3
0,4,13
7,4,3
0,4,8
0,3,4
0,3,7
0,4,12
0,4,81
7,3,6
0,3,2
7,4,2
0,3,17
0,4,16
0,3,8
0,3,74
7,3,61
7,4,14
7,3,6
0,3,4
7,4,27
0,3,2
0,3,12
0,3,16
0,3,10
0,3,2
0,4,2
0,3,3
0,3,6
0,4,5
0,4,7
7,4,46
7,4,11
7,4,2
0,3,46
7,3,25
0,3,36
7,4,16
0,3,46
0,4,34
0,4,3
7,4,2
7,4,2
7,3,10
0,3,6
0,4,44
0,3,7
7,3,8
0,3,23
7,4,13
0,4,16
7,4,3
0,4,4
7,4,22
7,3,9
7,4,14
0,4,2
0,4,9
0,4,31
0,3,2
0,4,27
0,4,28
7,3,6
7,3,26
7,4,2
0,3,4
0,4,3
7,3,22
7,3,21
0,3,3
7,4,19
0,4,10
7,4,6
0,3,16
7,4,15
7,3,9
7,3,6
7,4,12
7,4,4
0,3,10
7,3,9
7,4,8
0,3,7
7,3,6
7,3,5
0,3,4
0,3,3
0,4,2
0,3,1
