source,destination,holding_time
0,3,26
0,4,15
0,4,96
7,3,16
0,4,94
7,3,12
7,4,24
7,3,7
0,3,34
0,4,34
7,3,6
7,3,38
7,4,12
0,4,87
7,4,18
0,4,17
0,3,8
0,3,10
7,4,22
0,3,69
0,4,80
0,3,4
7,3,7
0,4,5
0,4,3
7,4,67
7,3,27
7,4,6
0,4,4
0,3,5
0,4,8
7,3,9
7,4,27
7,4,12
0,3,63
7,4,3
0,3,15
7,3,38
7,4,25
7,3,5
7,3,60
7,3,50
0,4,8
7,4,57
7,4,56
0,3,24
0,4,54
7,4,2
0,4,7
7,3,2
0,4,19
0,4,9
7,3,32
7,4,47
0,3,46
0,4,45
0,4,19
7,4,43
0,3,14
7,3,41
7,3,29
7,4,4
0,3,38
0,3,37
0,4,36
0,4,15
0,3,25
7,4,4
7,4,2
7,4,31
7,4,30
7,4,16
0,3,18
7,3,3
7,4,26
0,3,25
7,4,24
7,3,23
0,3,2
0,4,2
7,4,20
7,3,19
7,4,16
7,4,17
0,3,9
7,4,4
0,4,14
0,3,13
0,4,12
0,4,11
7,4,10
0,4,9
7,3,7
0,3,7
0,4,6
0,3,5
7,4,4
0,3,3
7,4,2
0,4,1
