source,destination,holding_time
7,3,13
7,3,26
0,4,2
7,4,35
0,3,87
0,4,9
7,4,32
0,4,7
7,3,18
0,3,15
7,4,3
0,3,49
7,3,39
0,3,87
0,3,2
7,4,3
7,3,53
0,3,15
0,3,40
7,4,2
0,4,2
7,3,4
0,4,2
7,3,8
0,4,3
7,4,2
7,4,74
7,4,73
7,4,10
0,3,6
7,3,20
0,4,2
0,3,68
0,3,67
0,4,2
7,3,11
7,4,4
7,3,39
7,3,21
0,4,38
0,3,59
7,4,7
0,3,8
0,4,19
7,3,8
0,4,15
0,4,4
0,4,53
0,4,8
0,4,7
0,4,5
7,4,34
7,4,41
0,4,27
0,4,2
7,3,45
7,3,44
0,3,3
0,4,6
0,3,6
7,3,22
7,3,16
7,3,5
0,3,6
0,3,2
7,3,4
0,4,2
0,4,2
7,3,2
0,4,31
7,3,24
7,3,5
0,3,7
7,4,27
0,4,13
7,3,15
7,4,9
0,3,4
0,3,8
7,3,21
0,4,3
7,4,6
0,3,16
7,3,17
7,3,7
0,3,15
0,3,2
7,4,13
7,4,2
0,3,11
7,4,2
7,3,6
7,3,2
7,4,3
7,3,3
7,3,5
0,3,4
0,4,3
7,3,2
0,4,1
