source,destination,holding_time
0,4,37
7,3,92
0,4,45
0,4,13
0,3,39
7,4,31
7,3,34
7,3,12
0,4,9
7,4,3
0,4,12
7,3,47
0,3,73
0,3,4
0,3,63
7,3,85
7,4,5
0,3,4
0,3,73
0,4,25
7,3,46
7,4,19
7,3,12
7,4,25
7,3,76
0,3,47
7,4,38
0,4,58
0,3,43
7,3,7
0,4,4
0,4,57
7,3,9
7,4,2
0,3,66
7,4,3
7,4,3
0,4,44
7,4,60
0,3,5
0,3,29
0,3,59
0,3,58
0,3,4
0,4,26
0,3,55
7,4,27
0,3,53
7,4,52
0,3,33
0,3,50
7,3,2
0,4,10
7,3,47
0,4,46
7,3,17
7,4,16
0,3,2
0,3,4
7,3,2
0,3,38
7,3,4
0,3,2
0,3,37
7,4,14
0,3,35
0,4,2
7,4,33
0,3,25
0,3,15
7,3,2
0,3,17
7,3,12
0,4,2
7,4,2
0,3,25
0,3,24
0,3,23
7,4,3
0,3,19
0,4,18
7,4,2
7,4,14
7,4,17
0,3,16
7,3,15
0,3,6
7,3,13
0,4,8
0,4,3
7,4,10
0,3,9
0,4,7
0,3,7
7,3,6
0,3,5
7,3,4
7,4,3
0,4,2
0,3,1
