source,destination,holding_time
7,3,28
7,3,2
0,3,49
7,4,4
7,3,2
7,4,2
7,3,20
7,3,3
7,4,3
0,4,5
7,4,6
0,4,2
7,4,2
7,3,6
0,3,2
7,4,63
7,3,4
0,3,2
0,3,40
0,4,2
7,4,80
7,4,2
7,4,34
0,3,10
0,4,3
0,3,26
0,3,2
0,4,4
0,3,10
0,3,4
0,4,66
7,4,7
7,3,6
0,4,6
7,4,2
7,4,4
7,4,21
0,3,63
0,4,2
7,3,22
0,4,2
7,3,5
0,4,28
7,3,57
7,3,2
7,3,46
7,3,2
0,4,3
0,3,52
0,3,2
7,3,7
0,3,2
0,3,2
0,3,2
0,4,8
7,3,3
0,3,23
0,3,43
7,3,5
0,3,3
0,3,28
0,4,2
0,3,2
0,3,3
0,3,13
7,4,29
0,4,11
0,3,2
0,3,10
0,3,31
7,3,24
7,4,5
0,4,10
0,3,18
7,4,10
7,4,6
0,3,2
0,4,20
7,3,2
0,4,8
0,3,5
7,4,19
7,3,5
0,3,17
7,3,4
7,4,15
7,3,2
7,3,2
7,3,3
0,4,11
7,3,2
0,3,9
0,4,2
7,3,7
7,4,2
0,3,4
0,4,2
7,3,3
7,4,2
7,3,1
