source,destination,holding_time
0,4,5
0,3,6
0,3,28
0,4,38
7,4,63
7,3,2
0,4,24
0,3,17
0,4,22
0,4,13
0,4,3
0,4,6
7,3,14
7,3,87
0,4,86
0,4,3
7,4,4
0,3,25
7,3,82
0,3,2
0,3,2
0,4,10
7,4,8
7,4,71
0,3,18
7,4,8
7,3,12
0,3,60
0,4,47
0,3,3
7,3,6
0,4,2
7,3,68
0,3,18
7,4,54
0,4,18
7,4,2
0,4,2
7,3,3
0,4,2
0,4,43
7,3,4
7,4,4
7,3,7
0,4,6
0,3,2
7,4,52
0,4,11
0,3,23
7,3,39
7,4,50
7,4,4
7,3,48
0,4,15
7,3,46
7,4,45
7,4,44
7,3,26
7,4,42
7,4,13
7,3,32
7,4,39
7,3,8
0,3,4
7,4,36
0,3,2
7,3,34
0,4,33
0,4,9
7,4,31
0,3,10
0,4,17
7,4,8
7,3,27
7,4,2
0,4,20
0,3,24
7,4,23
7,4,22
7,4,2
0,3,20
7,3,19
7,4,18
7,3,3
0,4,5
0,4,15
7,4,14
7,3,13
7,4,2
7,3,11
7,4,10
0,3,5
7,3,8
0,4,7
0,3,6
0,3,5
0,4,4
0,3,3
7,4,2
7,4,1
