source,destination,holding_time
0,4,7
7,4,2
7,4,36
0,3,34
7,4,6
0,4,23
0,4,9
7,3,4
7,3,19
0,3,91
0,3,2
0,4,2
7,4,29
0,3,3
7,4,2
7,4,76
7,4,6
0,3,14
7,3,4
7,3,2
0,4,2
0,4,13
7,3,2
0,4,2
0,4,16
7,3,61
0,3,24
7,4,2
7,4,5
7,3,7
7,3,8
0,4,7
7,4,34
0,4,57
0,3,6
0,3,38
0,3,12
0,4,2
0,4,2
7,4,2
0,3,5
0,4,20
7,3,12
0,3,2
7,3,26
0,4,11
0,3,54
7,3,3
7,3,2
0,4,2
7,3,11
0,4,2
0,3,41
7,4,47
0,3,25
7,4,45
7,4,6
7,4,2
0,3,11
7,3,9
0,4,4
7,3,5
0,3,4
7,4,2
0,4,35
7,3,25
0,4,13
0,3,33
0,3,32
7,3,2
7,3,2
7,3,2
7,3,4
0,4,7
7,4,22
7,4,2
0,3,2
7,3,13
7,4,3
0,4,2
0,4,20
7,3,2
0,4,2
0,4,4
7,3,2
7,3,15
0,4,14
7,4,13
7,4,12
0,4,3
7,4,10
0,3,9
0,3,2
7,3,2
7,3,5
0,3,5
0,3,4
7,3,3
7,4,2
0,4,1
