source,destination,holding_time
7,3,58
7,3,53
0,4,2
7,3,11
7,4,25
0,3,6
0,3,64
7,3,80
7,4,10
0,3,8
7,4,4
7,4,3
0,3,43
7,4,36
0,4,19
0,3,2
0,3,84
7,4,31
7,3,4
0,3,20
7,4,80
7,4,23
0,3,66
7,4,24
0,3,75
0,4,55
7,4,30
0,4,3
0,4,2
7,3,6
0,3,3
0,4,11
7,3,6
7,3,29
7,3,7
7,4,11
7,3,3
0,3,63
0,3,3
7,3,46
7,3,60
0,4,2
7,3,12
0,4,29
7,3,30
7,3,20
0,3,32
7,3,43
0,3,30
7,3,11
0,4,50
0,4,49
0,4,9
0,3,11
7,3,2
7,3,4
0,4,26
7,4,43
7,4,17
7,4,41
0,4,19
7,4,39
0,4,5
0,3,28
0,3,36
7,3,2
0,3,21
0,4,10
7,4,17
7,4,31
7,4,6
0,3,29
0,4,28
7,3,27
0,3,6
7,3,25
0,4,9
0,3,16
0,4,22
0,3,21
7,3,20
0,3,3
7,3,2
7,4,17
7,3,16
0,4,15
7,4,14
0,4,8
0,3,12
7,3,11
0,4,10
7,3,2
0,3,8
0,3,7
7,4,6
0,3,5
7,4,3
7,4,3
7,4,2
7,3,1
