source,destination,holding_time
0,4,54
0,3,15
7,4,3
0,4,5
0,3,45
7,3,83
0,3,9
7,3,9
0,3,4
0,4,44
7,3,17
7,4,3
0,3,31
0,4,2
7,4,12
0,4,4
0,3,2
7,3,46
0,4,2
0,3,13
7,4,14
7,4,5
0,3,7
0,4,4
7,3,5
7,3,75
0,3,5
0,3,2
0,3,5
7,3,3
0,4,2
0,4,13
0,4,45
7,4,10
0,3,9
0,3,3
7,3,64
7,4,2
7,3,4
0,4,4
0,3,2
0,4,3
7,3,28
0,4,54
7,4,24
0,3,28
7,4,32
0,3,2
0,3,22
7,4,2
7,3,50
7,4,2
0,3,10
7,4,3
7,3,3
0,4,5
7,3,28
0,4,36
7,4,42
0,4,6
7,3,3
0,4,13
7,4,38
0,3,2
7,3,36
7,3,9
0,4,25
0,3,12
0,3,12
0,4,4
7,4,30
0,4,29
0,4,28
0,3,5
7,4,17
7,3,2
0,3,5
0,4,23
7,3,22
7,3,20
0,4,2
0,3,19
0,4,7
0,3,17
0,4,16
0,3,12
7,4,14
7,4,6
7,3,9
7,4,11
0,4,10
7,4,9
7,4,2
0,4,4
0,4,3
0,3,5
7,4,2
7,3,3
7,4,2
7,4,1
