source,destination,holding_time
7,4,4
0,3,2
0,4,3
0,3,30
7,4,2
0,3,17
7,3,48
0,3,6
7,4,11
7,3,3
7,3,2
0,4,8
0,4,4
7,3,3
0,3,86
0,3,5
0,4,2
7,4,4
0,4,3
7,4,16
7,4,29
0,4,2
7,3,2
7,3,77
0,3,2
7,4,3
7,4,2
7,4,2
7,3,3
7,4,3
7,4,2
7,3,2
0,3,3
0,4,5
0,3,3
0,4,3
7,3,3
0,3,2
7,4,3
0,3,5
0,4,3
0,3,2
0,4,13
0,3,2
0,4,2
0,4,2
7,4,2
7,4,6
0,3,2
7,4,7
7,3,19
0,3,2
0,3,14
7,3,5
0,4,2
7,3,17
7,4,3
0,4,6
7,4,3
0,4,2
0,3,5
0,3,8
7,3,6
7,4,2
0,4,36
7,3,35
7,4,2
7,4,33
7,4,2
7,4,2
7,3,2
0,3,22
0,3,9
0,3,27
0,4,26
0,3,2
7,4,2
0,4,5
0,4,2
7,3,3
0,4,5
7,3,3
7,3,2
7,4,2
7,4,2
0,4,2
0,3,8
0,4,2
7,3,5
7,3,2
7,3,3
7,3,9
0,4,7
0,4,2
7,4,6
0,4,3
7,4,3
0,4,3
7,4,2
7,4,1
