source,destination,holding_time
0,3,11
0,3,2
7,4,10
7,4,28
7,3,38
7,3,2
7,3,8
0,4,6
0,3,6
7,3,2
0,3,42
7,4,43
7,3,40
0,4,16
7,4,8
0,3,2
7,3,2
0,3,2
7,4,10
0,3,7
7,3,12
0,3,7
7,3,37
0,3,63
7,4,25
7,4,9
0,3,34
7,3,3
0,3,3
0,4,21
7,4,70
0,4,6
7,3,10
0,4,4
7,4,2
0,3,35
7,3,55
0,4,3
7,4,15
0,4,4
0,4,9
0,4,59
0,4,4
0,4,25
7,3,4
0,3,55
0,3,2
0,4,2
7,3,3
7,4,3
7,3,2
0,3,23
0,4,8
7,4,27
0,4,2
7,3,37
7,3,2
0,3,2
7,4,2
0,3,41
7,4,2
7,3,10
0,3,6
0,3,4
7,4,5
7,4,35
7,3,4
0,3,16
0,3,4
7,3,11
0,4,3
7,4,2
0,3,3
0,3,27
7,3,9
7,3,2
7,3,24
0,4,2
7,3,22
7,3,3
0,3,5
0,4,8
0,3,18
7,3,2
7,4,2
7,3,3
7,4,14
7,4,2
7,3,12
7,3,2
7,3,2
7,4,9
0,4,5
7,3,7
0,4,2
0,3,4
7,4,2
7,3,3
0,4,2
0,3,1
