source,destination,holding_time
0,3,7
0,3,3
0,3,4
7,4,38
0,3,10
7,4,15
0,4,6
7,4,2
7,3,7
7,4,13
7,3,4
7,4,5
7,4,5
7,4,2
0,3,7
0,4,46
7,4,16
0,4,7
0,3,3
0,3,4
7,4,6
7,4,3
7,3,5
7,4,3
0,3,2
7,4,3
7,4,3
0,4,35
7,3,2
0,3,2
7,4,3
0,4,4
7,3,43
7,4,2
0,3,14
7,4,2
7,3,13
7,3,3
0,4,7
0,4,3
0,4,3
0,4,20
7,3,3
7,3,2
0,4,5
0,4,2
7,3,9
0,4,2
7,3,49
0,3,2
7,4,13
0,4,4
0,3,2
7,3,2
7,4,3
0,4,45
7,3,26
7,4,2
7,3,2
7,3,2
7,3,2
0,4,3
0,3,10
0,4,2
0,4,23
0,3,3
0,3,2
0,4,2
0,3,2
0,3,31
0,4,6
0,4,2
7,4,2
0,4,7
0,3,2
7,3,2
7,4,24
0,3,12
7,3,2
0,4,2
0,4,3
0,4,19
0,3,6
0,4,13
0,3,2
0,3,15
0,4,2
7,3,2
7,3,2
7,4,3
0,3,4
0,3,2
0,3,2
7,4,2
7,3,6
7,4,3
7,3,2
0,3,2
0,4,2
7,3,1
