source,destination,holding_time
0,4,32
7,4,4
0,3,2
7,4,3
0,4,3
0,4,77
7,4,3
7,3,2
7,4,3
7,3,2
0,3,82
7,4,3
0,4,2
7,4,10
0,4,2
7,4,9
0,3,34
0,3,2
0,4,3
0,4,2
7,3,2
7,3,2
7,3,12
0,4,6
7,3,18
0,3,7
7,4,2
7,3,6
0,4,16
0,4,12
0,4,70
7,3,5
0,3,2
0,3,2
7,4,2
7,3,3
7,4,7
7,4,2
0,3,6
7,3,11
7,4,4
7,3,4
7,3,27
0,3,3
0,3,7
7,4,2
7,3,4
7,3,2
7,3,3
0,4,2
7,3,15
0,3,2
7,3,2
7,3,2
7,3,3
0,3,4
0,3,2
0,4,2
0,4,9
7,4,13
7,3,3
7,4,5
0,4,5
0,4,4
7,3,2
7,3,2
0,3,5
7,4,11
0,3,22
0,4,2
0,4,8
7,3,2
7,4,2
7,3,5
7,4,4
7,3,2
0,4,2
7,3,4
7,4,2
7,4,8
7,3,13
0,4,2
7,3,3
0,4,3
7,3,2
0,4,15
7,3,2
0,3,13
7,4,5
0,4,7
7,3,6
7,4,4
0,3,2
0,3,7
7,4,6
0,4,5
7,3,4
0,3,2
7,3,2
0,3,1
