source,destination,holding_time
0,3,6
0,3,3
0,4,2
7,3,2
0,4,4
0,4,2
0,4,2
7,4,2
7,4,3
0,4,9
0,4,6
7,4,5
7,3,3
0,3,8
0,3,4
0,3,2
7,4,2
0,4,2
7,4,3
0,3,2
7,3,9
0,4,2
0,4,4
7,3,2
0,3,13
7,3,41
0,4,2
7,3,4
7,3,3
7,3,3
7,4,4
7,3,3
0,4,2
0,3,6
7,4,2
0,3,2
7,4,24
0,3,3
0,4,4
0,3,2
0,3,53
7,3,18
7,3,2
7,3,13
0,3,4
0,3,3
0,4,23
0,4,37
0,4,14
7,4,2
7,4,2
0,4,10
0,4,2
7,4,3
7,4,2
7,3,45
7,4,3
7,3,16
7,3,42
7,3,2
7,3,8
7,4,6
7,3,2
0,4,3
7,4,13
0,4,2
0,3,34
7,4,2
0,4,3
0,3,3
0,3,15
7,4,29
0,4,4
0,4,5
7,4,5
7,4,25
7,3,12
0,3,2
0,3,2
0,4,2
0,4,7
0,4,2
7,4,3
0,3,2
0,4,2
7,4,15
7,4,5
0,4,6
0,3,2
7,3,2
7,4,3
0,4,2
0,3,8
7,4,2
0,4,6
0,4,3
0,4,4
7,4,2
7,3,2
7,4,1
