source,destination,holding_time
0,4,2
0,3,29
7,3,2
0,3,6
7,3,96
7,4,4
7,4,2
7,4,2
0,4,3
7,3,2
7,3,3
7,3,2
7,3,7
0,3,2
0,4,41
7,3,6
7,4,4
0,4,27
0,3,4
0,3,3
7,3,2
0,3,2
0,4,31
0,3,5
7,3,20
0,4,2
0,4,2
7,4,14
7,4,4
0,4,2
0,4,3
0,3,2
7,3,6
0,3,3
7,4,2
0,3,12
0,4,2
7,4,2
0,4,2
0,4,6
0,3,27
0,4,6
0,3,24
0,4,2
7,4,6
7,3,2
0,3,4
0,4,12
0,3,14
0,3,4
0,3,4
0,4,41
7,3,3
7,3,2
0,3,46
7,4,4
7,3,44
7,4,2
7,4,6
0,3,41
7,3,6
0,4,2
7,4,8
0,3,5
7,4,4
7,3,2
0,4,16
0,3,3
0,3,7
0,4,2
7,4,2
0,3,3
0,3,3
7,3,2
0,3,4
7,4,25
0,3,2
7,4,2
7,3,3
0,3,3
7,4,2
7,4,6
7,4,18
7,4,4
7,3,2
7,4,7
0,4,2
0,3,2
7,3,2
7,3,2
7,4,4
7,4,2
7,3,2
0,3,3
0,4,2
7,3,2
0,4,4
7,3,3
0,3,2
0,3,1
