source,destination,holding_time
0,4,80
0,4,4
7,3,18
7,4,18
7,3,82
7,3,80
0,4,22
0,4,12
7,3,3
7,3,2
7,3,17
0,3,4
0,4,30
7,4,17
7,4,5
0,4,30
7,3,3
7,3,54
7,3,66
0,3,33
7,3,79
0,4,13
7,3,15
0,4,22
0,4,40
0,4,32
0,3,49
0,4,18
0,3,4
7,4,15
0,4,14
7,3,12
0,3,3
7,3,17
7,4,66
0,3,20
0,3,53
0,4,2
7,4,41
0,3,61
7,3,60
0,4,16
7,3,4
0,3,3
7,3,8
0,4,55
0,4,54
0,4,7
7,3,15
0,4,40
0,3,44
7,4,3
7,4,26
7,4,5
7,4,6
7,3,28
0,3,6
7,3,43
7,4,16
0,3,3
7,4,2
7,4,4
7,4,3
0,3,37
7,3,36
7,4,10
7,3,34
0,4,33
0,3,32
7,3,22
7,4,25
0,3,29
7,4,28
0,3,27
7,4,26
0,4,2
7,3,21
0,3,2
7,3,22
7,4,21
0,4,20
0,4,19
7,4,18
0,4,2
7,3,10
0,4,15
7,4,2
0,3,9
0,3,12
0,3,11
0,3,8
0,4,9
0,3,4
0,3,5
7,4,4
7,4,5
7,3,4
7,3,3
0,4,2
7,3,1
