source,destination,holding_time
7,3,38
0,3,3
0,3,13
0,4,9
0,4,95
7,4,2
0,4,51
0,4,19
7,3,15
7,4,10
7,3,7
7,3,32
0,4,2
0,3,29
0,3,85
7,3,48
0,4,2
7,4,83
0,4,6
7,4,13
7,3,8
7,4,50
0,3,10
7,4,45
7,4,3
7,4,67
7,3,41
0,4,22
0,3,2
0,4,71
7,3,70
0,3,43
7,3,57
0,4,55
7,3,8
0,4,13
7,3,4
7,4,16
0,4,62
0,4,33
7,4,60
0,4,38
7,3,4
7,3,30
7,4,2
0,4,48
7,4,50
0,3,5
0,3,13
0,3,51
7,3,5
0,3,49
7,3,5
0,3,47
0,4,16
7,4,45
0,3,18
0,4,19
7,4,32
0,3,41
7,3,17
0,3,16
7,3,17
7,3,10
0,3,9
0,3,3
0,4,6
0,3,33
0,4,30
0,3,31
7,3,7
7,3,29
7,3,9
7,4,18
0,3,10
7,3,2
0,4,24
0,4,23
0,3,18
0,4,10
7,3,20
7,3,5
7,3,18
0,4,3
7,4,2
7,3,15
7,4,14
0,4,2
0,4,12
7,3,11
7,4,10
7,4,2
0,4,8
7,3,4
0,4,5
7,3,5
0,4,4
7,3,3
0,3,2
7,3,1
