source,destination,holding_time
7,3,3
0,4,2
7,3,30
0,4,2
0,4,34
0,3,16
0,4,20
0,4,4
7,3,10
0,3,4
7,3,4
0,4,9
0,3,2
0,4,5
0,4,16
0,4,3
7,4,69
7,3,10
7,4,3
0,4,13
7,3,34
7,4,37
0,4,3
0,3,13
7,3,11
0,4,75
0,3,74
0,4,5
7,3,2
0,4,13
0,4,70
0,3,4
0,3,27
0,3,4
0,4,55
0,4,43
7,3,16
7,4,5
7,4,15
0,4,3
7,4,3
7,4,3
7,4,2
0,3,27
7,4,56
0,4,55
0,3,2
7,4,43
7,4,12
0,4,4
0,4,6
0,4,2
7,4,6
7,4,15
0,4,16
7,4,45
0,3,7
7,4,2
0,4,42
0,4,3
7,4,22
7,4,39
0,4,11
0,4,7
7,4,3
7,4,3
7,3,2
7,3,2
0,3,3
0,3,11
7,3,30
7,4,21
0,4,3
7,3,27
0,3,26
0,4,3
0,3,5
7,3,23
7,4,4
0,3,2
0,4,20
7,3,3
0,4,11
0,3,10
0,4,16
7,3,4
0,3,2
7,3,13
7,3,12
0,4,11
7,3,10
0,4,4
0,4,2
0,4,7
7,3,6
7,4,5
0,4,2
0,4,3
0,3,2
0,3,1
