source,destination,holding_time
7,4,13
7,4,2
0,3,11
7,4,9
7,4,4
0,3,2
7,3,40
0,3,6
7,3,5
7,3,27
7,4,4
7,4,14
0,4,2
0,3,87
7,3,26
7,4,5
0,4,24
7,3,2
7,3,11
7,4,3
7,3,3
7,3,18
7,4,49
7,4,4
7,4,63
0,4,29
0,4,2
7,3,4
0,3,2
0,4,57
7,3,23
0,3,24
0,3,2
7,4,5
0,4,6
0,4,3
0,3,2
7,4,18
0,4,61
0,4,28
0,4,11
0,4,6
0,4,2
0,4,12
0,4,11
7,4,55
0,3,6
7,3,4
7,4,2
0,4,2
0,3,40
0,3,2
0,3,15
7,3,8
7,4,7
0,3,2
7,3,2
7,3,6
0,3,31
0,3,4
7,4,24
0,3,39
7,4,38
0,3,2
0,4,19
7,3,10
0,4,11
7,4,13
0,4,32
7,4,31
0,3,5
7,3,13
0,4,2
7,4,8
0,4,26
7,4,25
0,4,16
0,4,2
0,4,9
0,3,2
7,4,3
7,3,19
7,3,2
0,3,2
0,3,3
0,4,15
0,4,12
0,3,5
0,4,12
7,4,2
7,4,10
7,3,9
7,3,8
7,4,6
7,4,6
7,3,2
0,3,2
7,4,3
0,4,2
0,3,1
