source,destination,holding_time
0,3,24
7,3,84
7,3,2
0,4,3
0,3,6
0,4,17
0,3,2
0,3,21
7,4,10
7,3,12
0,4,6
0,3,61
0,4,2
0,3,24
7,4,3
7,3,3
0,4,4
0,3,59
0,3,82
0,4,13
7,4,4
7,4,6
0,3,3
7,4,2
7,3,10
7,4,2
0,4,2
0,3,5
7,3,2
0,3,12
7,4,70
0,3,40
0,3,68
0,4,47
7,4,3
0,4,7
0,4,10
7,3,6
0,4,20
7,4,16
7,3,5
0,3,27
0,3,9
0,3,53
0,4,2
0,3,2
7,4,3
0,3,16
0,3,26
0,4,10
7,3,4
7,3,4
0,3,17
0,4,18
7,4,43
0,4,41
0,3,39
0,4,2
0,4,9
7,4,5
7,3,2
7,4,15
7,3,38
0,3,8
0,3,2
0,4,9
7,3,3
0,4,5
0,3,18
0,4,7
0,3,5
7,3,29
7,3,5
0,4,27
7,3,9
7,4,5
7,4,3
0,4,2
0,4,22
7,3,6
7,4,2
7,4,17
7,3,18
0,4,17
0,3,6
0,3,15
7,3,14
0,3,13
0,4,12
0,3,11
0,3,10
0,3,3
7,4,8
7,3,4
7,3,2
7,4,5
7,4,4
7,4,3
7,4,2
0,3,1
