source,destination,holding_time
0,3,84
0,4,12
0,3,29
7,4,97
0,3,2
7,3,2
7,3,30
0,3,50
0,3,4
7,3,40
7,4,70
7,4,18
0,4,7
0,3,4
7,4,62
7,4,68
0,3,42
0,4,2
7,3,50
7,3,16
0,3,48
0,3,79
0,4,10
0,3,5
0,4,75
7,4,42
0,4,39
0,4,2
7,4,29
0,3,2
0,3,21
0,4,36
7,3,11
7,4,7
0,3,3
0,4,30
0,4,18
7,4,58
0,4,26
0,4,14
0,3,10
7,3,2
7,3,2
0,4,7
0,3,56
7,3,3
7,3,16
7,3,16
7,3,44
0,4,2
7,4,50
0,4,17
0,4,48
7,4,20
7,4,46
0,4,2
7,3,44
0,3,43
0,4,5
7,4,2
0,4,40
0,3,39
0,4,38
0,4,37
0,3,2
0,4,23
7,3,9
7,3,2
7,4,32
7,4,2
7,4,3
7,4,29
7,3,7
7,4,27
0,3,8
7,4,25
7,4,4
0,4,23
7,4,16
0,4,21
7,3,15
7,4,19
7,3,18
7,3,9
0,4,16
0,4,15
7,3,14
7,4,13
0,3,4
7,4,11
0,3,10
0,3,9
0,3,8
7,3,5
7,4,2
7,3,5
7,4,3
0,3,3
0,3,2
0,4,1
