source,destination,holding_time
0,4,18
7,4,12
7,4,5
7,4,7
7,4,9
7,3,13
0,4,3
7,4,3
7,3,5
0,4,6
0,3,12
0,3,65
0,4,17
0,4,20
0,4,4
7,4,85
0,4,66
0,3,7
7,4,5
7,4,21
7,3,8
7,3,3
0,4,4
0,4,8
0,4,29
7,3,7
7,4,2
7,4,7
7,4,2
0,4,3
7,4,2
0,4,11
0,3,7
7,4,67
7,4,3
0,4,8
0,4,64
0,3,10
0,4,28
7,4,2
0,3,4
7,4,2
7,4,22
7,3,57
7,4,8
7,4,55
0,3,35
7,3,2
7,4,2
7,4,20
7,4,2
7,4,11
0,4,3
7,3,2
0,3,2
0,4,4
7,4,2
0,3,9
0,3,7
7,4,3
0,3,3
7,3,13
7,3,38
0,4,2
0,3,20
7,4,3
0,4,3
7,4,17
0,4,5
7,4,14
0,4,30
0,3,6
7,4,2
7,3,2
7,3,2
0,4,18
0,3,2
7,4,3
0,3,22
0,4,2
7,3,9
7,3,2
7,4,18
7,4,2
7,3,15
0,3,15
7,3,3
7,3,9
7,3,10
0,3,10
0,3,10
7,3,9
7,4,7
7,3,2
0,4,2
0,3,4
0,4,4
7,3,3
0,4,2
7,4,1
