source,destination,holding_time
7,4,4
0,4,30
7,4,4
0,4,55
0,3,91
0,4,61
7,3,18
0,4,70
0,4,2
7,3,67
0,4,23
0,4,8
0,4,2
0,3,52
7,4,29
0,3,50
0,4,2
0,4,11
0,4,6
0,3,53
7,4,33
0,3,68
7,3,2
7,3,5
0,4,3
0,4,3
7,3,19
0,4,66
7,3,5
7,3,3
0,3,6
0,3,4
0,3,14
7,4,35
0,3,66
0,4,47
0,4,4
0,3,7
7,3,2
0,4,6
7,3,2
7,3,31
7,4,58
7,3,7
0,4,36
7,3,55
7,3,42
7,3,53
0,4,10
7,4,18
7,4,7
0,3,45
7,4,4
0,4,6
7,3,41
7,3,2
0,4,44
0,4,41
0,3,3
0,3,41
0,3,2
7,3,39
7,4,38
0,4,5
0,4,36
0,4,4
7,4,34
0,4,2
0,4,32
0,4,5
0,3,30
0,4,29
7,3,28
7,4,11
0,4,26
7,3,8
7,4,2
7,4,2
7,3,22
0,4,21
7,3,20
7,4,19
7,4,3
0,4,17
0,4,16
7,3,15
7,4,14
7,3,3
7,4,12
0,3,11
7,4,4
7,4,9
0,3,8
7,4,7
0,4,6
7,3,5
0,3,4
0,4,3
7,4,2
7,4,1
